Location Listing,,,,,,,
,,Max,Fill,Always,,,
Location Name,Location Formal Name,Capacity,Ratio,Shared,Campus Partition,Default Layout,Capacity
271 252,271 Huntington-252,16,,No,BOSTON CLASSROOMS,CLASSROOM,16
BK 007,BOS-Behrakis Building-007,22,,No,BOSTON CLASSROOMS,CLASSROOM,22
BK 010,BOS-Behrakis Building-010,175,,No,BOSTON CLASSROOMS,CLASSROOM,175
BK 030,BOS-Behrakis Building-030,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
BK 105,BOS-Behrakis Building-105,46,,No,BOSTON CLASSROOMS,CLASSROOM,46
BK 204,BOS-Behrakis Building-204,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
BK 210,BOS-Behrakis Building-210,16,,No,BOSTON CLASSROOMS,CLASSROOM,16
BK 220,BOS-Behrakis Building-220,56,,No,BOSTON CLASSROOMS,CLASSROOM,56
BK 307,BOS-Behrakis Building-307,23,,No,BOSTON CLASSROOMS,CLASSROOM,23
BK 310,BOS-Behrakis Building-310,103,,No,BOSTON CLASSROOMS,CLASSROOM,103
BK 315,BOS-Behrakis Building-315,56,,No,BOSTON CLASSROOMS,CLASSROOM,56
BK 320,BOS-Behrakis Building-320,56,,No,BOSTON CLASSROOMS,CLASSROOM,56
BK 325,BOS-Behrakis Building-325,56,,No,BOSTON CLASSROOMS,CLASSROOM,56
BK 750,BOS-Behrakis Building-750,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
CA 001,Cahners-001,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 002,Cahners-002,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 003,Cahners-003,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 004,Cahners-004,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 005,Cahners-005,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 006,Cahners-006,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 007,Cahners-007,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
CA 008,Cahners-008,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
CG 094,BOS-Cargill-094,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
CG 097,BOS-Cargill-097,175,,No,BOSTON CLASSROOMS,CLASSROOM,175
CH 101,BOS-Churchill-101,166,,No,BOSTON CLASSROOMS,CLASSROOM,166
CH 103,BOS-Churchill-103,166,,No,BOSTON CLASSROOMS,CLASSROOM,166
CN 105,Cullinane-105,19,,No,BOSTON CLASSROOMS,CLASSROOM,19
DG 050,BOS-Dodge-050,82,,No,BOSTON CLASSROOMS,CLASSROOM,82
DG 070,BOS-Dodge-070,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 111,BOS-Dodge-111,18,,No,BOSTON CLASSROOMS,CLASSROOM,18
DG 119,BOS-Dodge-119,63,,No,BOSTON CLASSROOMS,CLASSROOM,63
DG 130,BOS-Dodge-130,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 140,BOS-Dodge-140,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
DG 150,BOS-Dodge-150,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 170,BOS-Dodge-170,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 173,BOS-Dodge-173,52,,No,BOSTON CLASSROOMS,CLASSROOM,52
DG 230,BOS-Dodge-230,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 270,BOS-Dodge-270,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 330,BOS-Dodge-330,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 370,BOS-Dodge-370,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 430,BOS-Dodge-430,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
DG 470,BOS-Dodge-470,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
EL 311,BOS-Ell-311,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
EL 408,BOS-Ell-408,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
EL 410,BOS-Ell-410,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
EL 411,BOS-Ell-411,23,,No,BOSTON CLASSROOMS,CLASSROOM,23
EV 002,BOS-East Village -002,59,,No,BOSTON CLASSROOMS,CLASSROOM,59
EV 008,BOS-East Village -008,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
EV 010,BOS-East Village -010,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
EV 024,BOS-East Village -024,82,,No,BOSTON CLASSROOMS,CLASSROOM,82
EV 102,BOS-East Village -102,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
EXP 201,BOS-EXP-201,63,,No,BOSTON CLASSROOMS,CLASSROOM,63
EXP 202,BOS-EXP-202,56,,No,BOSTON CLASSROOMS,CLASSROOM,56
EXP 203,BOS-EXP-203,56,,No,BOSTON CLASSROOMS,CLASSROOM,56
EXP 204,BOS-EXP-204,65,,No,BOSTON CLASSROOMS,CLASSROOM,65
EXP 310,BOS-EXP-310,45,,No,BOSTON CLASSROOMS,CLASSROOM,45
EXP 311,BOS-EXP-311,45,,No,BOSTON CLASSROOMS,CLASSROOM,45
FR 128,BOS-Forsyth-128,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
FR 129,BOS-Forsyth-129,38,,No,BOSTON CLASSROOMS,CLASSROOM,38
FR 130,BOS-Forsyth-130,40,,No,BOSTON CLASSROOMS,CLASSROOM,40
FR 150,BOS-Forsyth-150,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
FR 151,BOS-Forsyth-151,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
FR 201,BOS-Forsyth-201,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
FR 202,BOS-Forsyth-202,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
FR 235,BOS-Forsyth-235,39,,No,BOSTON CLASSROOMS,CLASSROOM,39
FR 236,BOS-Forsyth-236,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
FR 237,BOS-Forsyth-237,39,,No,BOSTON CLASSROOMS,CLASSROOM,39
FR 238,BOS-Forsyth-238,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
FR 241,BOS-Forsyth-241,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
FR 242,BOS-Forsyth 242,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
HA 012,BOS-Hayden-012,48,,No,BOSTON CLASSROOMS,CLASSROOM,48
HA 221,BOS-Hayden-221,55,,No,BOSTON CLASSROOMS,CLASSROOM,55
HA 222,BOS-Hayden-222,30,,No,BOSTON CLASSROOMS,CLASSROOM,30
HA 321,BOS-Hayden-321,32,,No,BOSTON CLASSROOMS,CLASSROOM,32
HA 322,BOS-Hayden-322,55,,No,BOSTON CLASSROOMS,CLASSROOM,55
HA 424,BOS-Hayden-424,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
HA 425,BOS-Hayden-425,34,,No,BOSTON CLASSROOMS,CLASSROOM,34
HS 101,BOS-HASTINGS-101,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
HS 102,BOS-HASTINGS-102,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
HS 103,BOS-HASTINGS-103,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
HS 105,BOS-HASTINGS-105,23,,No,BOSTON CLASSROOMS,CLASSROOM,23
HS 106,BOS-HASTINGS-106,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 107,BOS-HASTINGS-107,32,,No,BOSTON CLASSROOMS,CLASSROOM,32
HS 108,BOS-HASTINGS-108,35,,No,BOSTON CLASSROOMS,CLASSROOM,35
HS 109,BOS-HASTINGS-109,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 111,BOS-HASTINGS-111,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 112,BOS-HASTINGS-112,26,,No,BOSTON CLASSROOMS,CLASSROOM,26
HS 113,BOS-HASTINGS-113,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
HS 201,BOS-HASTINGS-201,47,,No,BOSTON CLASSROOMS,CLASSROOM,47
HS 202,BOS-HASTINGS-202,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
HS 204,BOS-HASTINGS-204,25,,No,BOSTON CLASSROOMS,CLASSROOM,25
HS 205,BOS-HASTINGS-205,24,,No,BOSTON CLASSROOMS,CLASSROOM,24
HS 206,BOS-HASTINGS-206,27,,No,BOSTON CLASSROOMS,CLASSROOM,27
HS 207,BOS-HASTINGS-207,29,,No,BOSTON CLASSROOMS,CLASSROOM,29
HS 209,BOS-HASTINGS-209,28,,No,BOSTON CLASSROOMS,CLASSROOM,28
HS 210,BOS-HASTINGS-210,43,,No,BOSTON CLASSROOMS,CLASSROOM,43
HS 211,BOS-HASTINGS-211,42,,No,BOSTON CLASSROOMS,CLASSROOM,42
HT 129,BOS-Hurtig-129,103,,No,BOSTON CLASSROOMS,CLASSROOM,103
HT 130,BOS-Hurtig-130,103,,No,BOSTON CLASSROOMS,CLASSROOM,103
HT 224,BOS-Hurtig-224,58,,No,BOSTON CLASSROOMS,CLASSROOM,58
HT 308,BOS-Hurtig-308,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
HT 310,BOS-Hurtig-310,36,,No,BOSTON CLASSROOMS,CLASSROOM,36
INV 013,BOS-INV-013,26,,No,BOSTON CLASSROOMS,CLASSROOM,26
INV 014,BOS-INV-014,21,,No,BOSTON CLASSROOMS,CLASSROOM,21
INV 016,BOS-INV-016,20,,No,BOSTON CLASSROOMS,CLASSROOM,20
