CRN,CourseID,num_students
11310,BIOE2355,50.0
11761,BIOE2355,31.0
18421,CS3100,160.0
18422,CS3100,148.0
18423,CS3100,161.0
10007,FINA3301,42.0
10995,FINA3301,32.0
10329,FINA3301,42.0
15035,FINA3301,42.0
10527,FINA3301,42.0
11115,FINA3301,42.0
10631,ME3455,53.0
11281,ME3455,55.0
10193,ME3455,38.0
11196,MKTG2201,41.0
10296,MKTG2201,43.0
19494,MKTG2201,40.0
11079,MKTG2201,40.0
10298,MKTG2201,39.0
13051,MKTG2201,40.0
10300,MKTG2201,39.0
10301,MKTG2201,40.0
11077,MKTG2201,39.0
10302,MKTG2201,39.0
10299,MKTG2201,39.0
11118,MKTG2201,40.0
10295,MKTG2201,40.0
10297,MKTG2201,40.0
11288,MKTG2201,43.0
19495,MKTG2201,43.0
17238,AFCS3305,2.0
10162,ARTG2252,12.0
11846,ARTG2252,15.0
11846,ARTG2252,15.0
13881,ARTG3400,13.0
13033,ARTG4550,12.0
13034,ARTG4550,12.0
10413,ARTS2341,16.0
12308,ASNS1150,24.0
13681,ASNS3100,20.0
12397,BIOL1111,147.0
14584,BIOL3405,81.0
16552,BIOL3413,41.0
12495,BIOL3421,48.0
12238,BIOL3611,142.0
10634,BUSN1101,20.0
10634,BUSN1101,20.0
11969,CHEM1161,32.0
11797,CHEM1161,101.0
11797,CHEM1161,101.0
11797,CHEM1161,101.0
11969,CHEM1161,32.0
11797,CHEM1161,101.0
10165,CHEM1211,70.0
10165,CHEM1211,70.0
10165,CHEM1211,70.0
13199,CHEM3410,12.0
11228,CHEM3431,43.0
11228,CHEM3431,43.0
11228,CHEM3431,43.0
10433,CHME4701,32.0
10410,CIVE2331,52.0
16628,CIVE5275,42.0
12244,COMM1112,19.0
12244,COMM1112,19.0
10626,CRIM1100,46.0
12562,CRIM1110,30.0
18386,CS2100,68.0
12191,CY2550,50.0
10369,ECON1115,210.0
20090,ECON3420,43.0
20151,ECON4640,43.0
13001,ECON4692,19.0
14745,ECON4997,7.0
20376,EECE2160,40.0
14386,EECE2310,41.0
10412,EECE2322,25.0
11252,EECE2540,53.0
16768,ENVR2340,11.0
13658,ENVR3410,15.0
16771,ENVR3800,10.0
11435,GAME3700,11.0
11509,GE1501,33.0
11470,HIST1150,24.0
14405,HIST1215,24.0
17321,HIST3305,4.0
11283,IE4512,29.0
16455,INTL1101,31.0
21413,LARC2430,21.0
10523,MKTG2209,47.0
10853,MSCR1220,93.0
10853,MSCR1220,93.0
19471,MUSC1204,6.0
19487,MUSI2973,12.0
11330,MUSI3341,5.0
17353,PHIL1101,25.0
14791,PHIL1145,40.0
10238,PHYS1111,21.0
11672,PHYS1122,4.0
11257,PHYS1175,34.0
12971,PHYS3601,27.0
12068,SOCL1101,100.0
17328,WMNS3305,4.0
12324,FINA2730,41.0
14786,FINA2730,42.0
10069,ME2380,54.0
11312,ME2380,59.0
11683,ME2380,73.0
10798,MGSC2301,34.0
15082,MGSC2301,32.0
20619,MGSC2301,30.0
15094,MGSC2301,31.0
11044,MGSC2301,33.0
11087,MGSC2301,35.0
11088,MGSC2301,21.0
11089,MGSC2301,35.0
10805,MGSC2301,40.0
11090,MGSC2301,35.0
20618,MGSC2301,34.0
10802,MGSC2301,36.0
14614,MGSC2301,33.0
10235,PHYS1145,165.0
10236,PHYS1145,141.0
10994,PHYS1145,90.0
10235,PHYS1145,165.0
10236,PHYS1145,141.0
10994,PHYS1145,90.0
