student_id,Exam 1,Exam 2,Exam 3,Exam 4,Exam 5,Exam 6,Exam 7,Exam 8
1423000,12519 | GRMN1101 | Wed 0 (9:00–11:00) | BOS-Ryder-147 | cap 18 | size 11 | valid True,,,,,,,
1520532,13504 | BIOL2217 | Thu 3 (4:30–6:30) | BOS-Churchill-103 | cap 166 | size 161 | valid True,12353 | PSYC1101 | Tue 1 (11:30–1:30) | BOS-Robinson-109 | cap 74 | size 74 | valid True,,,,,,
1527607,13899 | SLPA1103 | Thu 1 (11:30–1:30) | JDOAAI - Classroom - 118 | cap 22 | size 22 | valid True,13903 | SLPA1203 | Wed 4 (7:00–9:00) | BOS-HASTINGS-105 | cap 23 | size 23 | valid True,,,,,,
1631107,13504 | BIOL2217 | Thu 3 (4:30–6:30) | BOS-Churchill-103 | cap 166 | size 161 | valid True,,,,,,,
1650311,17159 | HIST1286 | Wed 0 (9:00–11:00) | BOS-Snell Library-119 | cap 40 | size 40 | valid True,,,,,,,
1687043,11593 | PHMD4631 | Mon 4 (7:00–9:00) | BOS-Hurtig-224 | cap 58 | size 57 | valid True,11595 | PHMD4632 | Thu 1 (11:30–1:30) | BOS-Ryder-299 | cap 14 | size 14 | valid True,,,,,,
1699672,21819 | ARCH1453 | Fri 2 (2:00–4:00) | BOS-Hayden-425 | cap 34 | size 34 | valid True,,,,,,,
1763202,10385 | ACCT1201 | Mon 1 (11:30–1:30) | BOS-Ryder-429 | cap 42 | size 42 | valid True,10224 | BUSN1101 | Sat 0 (9:00–11:00) | BOS-Dodge-140 | cap 36 | size 16 | valid True,12356 | INTB1203 | Thu 1 (11:30–1:30) | BOS-Ryder-217 | cap 42 | size 40 | valid True,11093 | BUSN1102 | Thu 4 (7:00–9:00) | BOS-Kariotis-302 | cap 30 | size 30 | valid True,,,,
1765889,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1770262,21819 | ARCH1453 | Fri 2 (2:00–4:00) | BOS-Hayden-425 | cap 34 | size 34 | valid True,,,,,,,
1778009,14239 | MUSC1905 | Thu 4 (7:00–9:00) | BOS-West Village -108H | cap 68 | size 68 | valid True,,,,,,,
1785614,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1804853,21819 | ARCH1453 | Fri 2 (2:00–4:00) | BOS-Hayden-425 | cap 34 | size 34 | valid True,,,,,,,
1804875,11199 | MUSC1112 | Sat 3 (4:30–6:30) | BOS-ISEC-102 | cap 275 | size 283 | valid False,18042 | FINA3401 | Tue 1 (11:30–1:30) | BOS-Snell Library-111 | cap 42 | size 41 | valid True,,,,,,
1817750,10373 | ACCT4501 | Wed 0 (9:00–11:00) | BOS-Hayden-425 | cap 34 | size 34 | valid True,,,,,,,
1837855,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1841092,10047 | SPNS1101 | Thu 2 (2:00–4:00) | BOS-Ryder-202 | cap 17 | size 17 | valid True,,,,,,,
1853990,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1854927,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1857729,13138 | MSCR3389 | Sat 3 (4:30–6:30) | BOS-Snell Library-047 | cap 14 | size 14 | valid True,,,,,,,
1858492,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1863186,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1863388,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1865572,12323 | BIOE5850 | Mon 0 (9:00–11:00) | Cahners-004 | cap 20 | size 8 | valid True,,,,,,,
1871460,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1871473,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1872149,20283 | PHTH4515 | Tue 3 (4:30–6:30) | BOS-Snell Library-009 | cap 22 | size 22 | valid True,,,,,,,
1875362,14239 | MUSC1905 | Thu 4 (7:00–9:00) | BOS-West Village -108H | cap 68 | size 68 | valid True,,,,,,,
1875651,20320 | ARTG1291 | Fri 1 (11:30–1:30) | BOS-Ryder-299 | cap 14 | size 14 | valid True,,,,,,,
1876981,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1877231,22250 | CS4973 | Wed 4 (7:00–9:00) | BOS-Kariotis-308 | cap 7 | size 7 | valid True,,,,,,,
1877936,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1878751,12409 | MUSC1919 | Sat 3 (4:30–6:30) | Cahners-003 | cap 20 | size 5 | valid True,,,,,,,
1878783,12308 | ARCH5115 | Sat 0 (9:00–11:00) | BOS-Ryder-205 | cap 18 | size 10 | valid True,,,,,,,
1879543,12405 | MUSC1912 | Wed 2 (2:00–4:00) | BOS-Ryder-275 | cap 20 | size 10 | valid True,,,,,,,
1879764,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1879896,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1881113,21776 | FINA4610 | Sat 2 (2:00–4:00) | BOS-INV-013 | cap 26 | size 26 | valid True,,,,,,,
1881219,20315 | ARTG1291 | Wed 4 (7:00–9:00) | BOS-Ryder-299 | cap 14 | size 14 | valid True,,,,,,,
1881531,14992 | CHEM1163 | Mon 2 (2:00–4:00) | BOS-Ryder-277 | cap 20 | size 14 | valid True,,,,,,,
1882733,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1884123,21346 | ARTF1210 | Thu 2 (2:00–4:00) | BOS-Snell Library-047 | cap 14 | size 14 | valid True,,,,,,,
1884731,20318 | ARTG1291 | Fri 0 (9:00–11:00) | BOS-Snell Library-047 | cap 14 | size 14 | valid True,,,,,,,
1886526,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1890238,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1890381,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1890692,14639 | PHMD5560 | Sat 2 (2:00–4:00) | BOS-Kariotis-104 | cap 24 | size 24 | valid True,,,,,,,
1893156,21188 | CHNS2102 | Mon 2 (2:00–4:00) | BOS-Kariotis-304 | cap 18 | size 9 | valid True,19998 | CRIM1100 | Wed 0 (9:00–11:00) | BOS-Ryder-155 | cap 33 | size 33 | valid True,,,,,,
1895360,20322 | ARTG1291 | Thu 0 (9:00–11:00) | BOS-Ryder-299 | cap 14 | size 14 | valid True,,,,,,,
1904085,20318 | ARTG1291 | Fri 0 (9:00–11:00) | BOS-Snell Library-047 | cap 14 | size 14 | valid True,,,,,,,
1906971,12308 | ARCH5115 | Sat 0 (9:00–11:00) | BOS-Ryder-205 | cap 18 | size 10 | valid True,,,,,,,
1908638,22556 | PHIL1165 | Wed 0 (9:00–11:00) | BOS-Ryder-452 | cap 26 | size 25 | valid True,,,,,,,
1910568,22416 | EXED5945 | Thu 0 (9:00–11:00) | BOS-Ryder-452 | cap 26 | size 26 | valid True,,,,,,,
1910578,15874 | EEMB5542 | Wed 2 (2:00–4:00) | JDOAAI - Classroom - 116 | cap 13 | size 12 | valid True,,,,,,,
1910659,20317 | ARTG1291 | Mon 0 (9:00–11:00) | BOS-Ryder-291 | cap 20 | size 14 | valid True,,,,,,,
1912971,22416 | EXED5945 | Thu 0 (9:00–11:00) | BOS-Ryder-452 | cap 26 | size 26 | valid True,,,,,,,
1914185,11667 | MATH4581 | Sun 1 (11:30–1:30) | BOS-Snell Library-005 | cap 44 | size 44 | valid True,,,,,,,
1914200,16001 | PSYC2320 | Fri 4 (7:00–9:00) | BOS-Kariotis-110 | cap 40 | size 40 | valid True,,,,,,,
