student_id,exam_num,CRN,Course,Day,Block,Room,Capacity,Size,Valid
1423000,1,12519,GRMN1101,Wed,0 (9:00–11:00),BOS-Ryder-147,18,11,True
1520532,1,12353,PSYC1101,Tue,1 (11:30–1:30),BOS-Robinson-109,74,74,True
1520532,2,13504,BIOL2217,Thu,3 (4:30–6:30),BOS-Churchill-103,166,161,True
1527607,1,13903,SLPA1203,Wed,4 (7:00–9:00),BOS-HASTINGS-105,23,23,True
1527607,2,13899,SLPA1103,Thu,1 (11:30–1:30),JDOAAI - Classroom - 118,22,22,True
1631107,1,13504,BIOL2217,Thu,3 (4:30–6:30),BOS-Churchill-103,166,161,True
1650311,1,17159,HIST1286,Wed,0 (9:00–11:00),BOS-Snell Library-119,40,40,True
1687043,1,11593,PHMD4631,Mon,4 (7:00–9:00),BOS-Hurtig-224,58,57,True
1687043,2,11595,PHMD4632,Thu,1 (11:30–1:30),BOS-Ryder-299,14,14,True
1699672,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
1763202,1,10385,ACCT1201,Mon,1 (11:30–1:30),BOS-Ryder-429,42,42,True
1763202,2,12356,INTB1203,Thu,1 (11:30–1:30),BOS-Ryder-217,42,40,True
1763202,3,11093,BUSN1102,Thu,4 (7:00–9:00),BOS-Kariotis-302,30,30,True
1763202,4,10224,BUSN1101,Sat,0 (9:00–11:00),BOS-Dodge-140,36,16,True
1765889,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1770262,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
1778009,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
1785614,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1804853,1,21819,ARCH1453,Fri,2 (2:00–4:00),BOS-Hayden-425,34,34,True
1804875,1,18042,FINA3401,Tue,1 (11:30–1:30),BOS-Snell Library-111,42,41,True
1804875,2,11199,MUSC1112,Sat,3 (4:30–6:30),BOS-ISEC-102,275,283,False
1817750,1,10373,ACCT4501,Wed,0 (9:00–11:00),BOS-Hayden-425,34,34,True
1837855,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1841092,1,10047,SPNS1101,Thu,2 (2:00–4:00),BOS-Ryder-202,17,17,True
1853990,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1854927,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1857729,1,13138,MSCR3389,Sat,3 (4:30–6:30),BOS-Snell Library-047,14,14,True
1858492,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1863186,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1863388,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1865572,1,12323,BIOE5850,Mon,0 (9:00–11:00),Cahners-004,20,8,True
1871460,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1871473,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1872149,1,20283,PHTH4515,Tue,3 (4:30–6:30),BOS-Snell Library-009,22,22,True
1875362,1,14239,MUSC1905,Thu,4 (7:00–9:00),BOS-West Village -108H,68,68,True
1875651,1,20320,ARTG1291,Fri,1 (11:30–1:30),BOS-Ryder-299,14,14,True
1876981,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1877231,1,22250,CS4973,Wed,4 (7:00–9:00),BOS-Kariotis-308,7,7,True
1877936,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
1878751,1,12409,MUSC1919,Sat,3 (4:30–6:30),Cahners-003,20,5,True
1878783,1,12308,ARCH5115,Sat,0 (9:00–11:00),BOS-Ryder-205,18,10,True
1879543,1,12405,MUSC1912,Wed,2 (2:00–4:00),BOS-Ryder-275,20,10,True
1879764,1,14639,PHMD5560,Sat,2 (2:00–4:00),BOS-Kariotis-104,24,24,True
